MB_CODE_2021,LGA_CODE_2022,LGA_NAME_2022,STATE_CODE_2021,STATE_NAME_2021,AUS_CODE_2021,AUS_NAME_2021,AREA_ALBERS_SQKM,ASGS_LOCI_URI_2021
20077070000,21180,Brimbank,2,Victoria,AUS,Australia,0.0358,https://linked.data.gov.au/dataset/asgsed3/MB/20077070000
20700500000,21180,Brimbank,2,Victoria,AUS,Australia,0.0092,https://linked.data.gov.au/dataset/asgsed3/MB/20700500000
20077060000,21180,Brimbank,2,Victoria,AUS,Australia,0.0213,https://linked.data.gov.au/dataset/asgsed3/MB/20077060000
20699890000,21180,Brimbank,2,Victoria,AUS,Australia,1.1363,https://linked.data.gov.au/dataset/asgsed3/MB/20699890000
20077050000,21180,Brimbank,2,Victoria,AUS,Australia,0.0232,https://linked.data.gov.au/dataset/asgsed3/MB/20077050000
20631995850,21180,Brimbank,2,Victoria,AUS,Australia,0.0346,https://linked.data.gov.au/dataset/asgsed3/MB/20631995850
20077040000,21180,Brimbank,2,Victoria,AUS,Australia,0.0406,https://linked.data.gov.au/dataset/asgsed3/MB/20077040000
20631939580,21180,Brimbank,2,Victoria,AUS,Australia,0.0479,https://linked.data.gov.au/dataset/asgsed3/MB/20631939580
20077030000,21180,Brimbank,2,Victoria,AUS,Australia,0.0484,https://linked.data.gov.au/dataset/asgsed3/MB/20077030000
20631925290,21180,Brimbank,2,Victoria,AUS,Australia,0.0245,https://linked.data.gov.au/dataset/asgsed3/MB/20631925290
20077020000,21180,Brimbank,2,Victoria,AUS,Australia,0.0481,https://linked.data.gov.au/dataset/asgsed3/MB/20077020000
20699900000,21180,Brimbank,2,Victoria,AUS,Australia,0.6018,https://linked.data.gov.au/dataset/asgsed3/MB/20699900000
20077000000,21180,Brimbank,2,Victoria,AUS,Australia,0.0079,https://linked.data.gov.au/dataset/asgsed3/MB/20077000000
20699910000,21180,Brimbank,2,Victoria,AUS,Australia,0.5213,https://linked.data.gov.au/dataset/asgsed3/MB/20699910000
