LPHU,Postcode,Population,SEIFA
Gippsland,3825,21080,1
Gippsland,3824,5375,5
Gippsland,3823,2146,5
Gippsland,3822,992,7
Gippsland,3821,3145,7
Gippsland,3820,20048,4
Gippsland,3818,17326,4
Gippsland,3816,3202,3
Gippsland,3723,3782,6
Gippsland,3707,,2
Gippsland,3701,1116,5
Gippsland,3699,1253,2
Barwon,3407,357,6
Barwon,3401,4577,8
Barwon,3379,722,3
Barwon,3361,677,2
Barwon,3360,789,2
Barwon,3352,18909,7
Barwon,3351,9113,5
Barwon,3342,3950,4
Barwon,3340,25653,5
Barwon,3333,855,3
Barwon,3332,1172,6
Barwon,3331,7179,8
Barwon,3330,144,3
Barwon,3329,268,6
Barwon,3328,2276,8
Barwon,3325,400,2
Barwon,3324,587,1
Barwon,3323,38,6
Barwon,3322,145,4
Barwon,3321,1721,10
Barwon,3317,132,4
Barwon,3315,1655,3
Barwon,3314,534,7
Barwon,3312,1011,6
Barwon,3311,1716,1
Barwon,3310,214,2
Barwon,3309,57,2
Barwon,3305,13384,2
Barwon,3304,2790,2
Barwon,3303,253,3
Barwon,3302,312,5
Barwon,3301,1270,8
Barwon,3300,10468,4
Barwon,3294,923,8
Barwon,3293,292,3
Barwon,3292,122,5
Barwon,3289,810,5
Barwon,3287,383,6
Barwon,3286,536,3
Barwon,3285,1234,7
Barwon,3284,3874,6
Barwon,3283,1383,8
Barwon,3282,2478,5
Barwon,3281,1921,9
Barwon,3280,33265,4
Barwon,3279,259,6
Barwon,3278,304,7
Barwon,3277,1794,7
Barwon,3276,401,4
Barwon,3275,425,8
Barwon,3274,217,6
Barwon,3273,71,6
Barwon,3272,1667,2
Barwon,3271,144,6
Barwon,3270,257,6
Barwon,3269,652,7
Barwon,3268,2541,5
Barwon,3267,113,4
Barwon,3266,3015,4
Barwon,3265,2828,6
Barwon,3264,2232,2
Barwon,3260,4808,3
Barwon,3254,310,2
Barwon,3251,475,2
Barwon,3250,12772,2
Barwon,3249,3381,5
Barwon,3243,357,8
Barwon,3242,961,8
Barwon,3241,3065,4
Barwon,3240,2137,10
Barwon,3239,450,3
Barwon,3238,195,4
Barwon,3237,241,3
Barwon,3236,194,3
Barwon,3235,492,9
Barwon,3234,182,9
Barwon,3233,2368,5
Barwon,3232,1314,8
Barwon,3231,1572,9
Barwon,3230,3197,9
Barwon,3228,24179,10
Barwon,3227,5507,10
Barwon,3226,17711,8
Barwon,3225,5422,9
Barwon,3224,15091,6
Barwon,3223,9553,3
Barwon,3222,18562,6
Barwon,3221,761,10
Barwon,3220,17234,8
Barwon,3219,20322,1
Barwon,3218,14979,5
Barwon,3217,20527,10
Barwon,3216,60154,7
Barwon,3215,21983,3
Barwon,3214,24519,1
Barwon,3213,4724,7
Barwon,3212,19270,6
Barwon,3211,1355,8
,9797,21149,
,9494,21149,
,3960,2679,4
,3921,97,2
,3918,4287,7
,3892,1213,2
,3833,292,3
,3779,449,6
,3741,3417,5
,3723,3782,6
,3699,1253,2
,3285,1234,7
